gene	ncbi_status	ncbi_title	organism	seq_length	protein_accession	protein_title	functional_categories	primary_category
XM_067103211.1	found	PREDICTED: Macrobrachium rosenbergii uncharacterized protein (LOC136838320), transcript variant X1, mRNA	Macrobrachium rosenbergii	4106	protein:2782808270	uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067132712.1	found	PREDICTED: Macrobrachium rosenbergii cell growth regulator with RING finger domain protein 1-like (LOC136855612), transcript variant X1, mRNA	Macrobrachium rosenbergii	9269	protein:2782892978	cell growth regulator with RING finger domain protein 1-like isoform X1 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067111233.1	found	PREDICTED: Macrobrachium rosenbergii GDP-L-fucose synthase-like protein (Gmer), transcript variant X2, mRNA	Macrobrachium rosenbergii	1973	protein:2782813918	GDP-L-fucose synthase [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067100416.1	found	PREDICTED: Macrobrachium rosenbergii ras-related protein ced-10-like (LOC136836302), transcript variant X1, mRNA	Macrobrachium rosenbergii	8383	protein:2782967604	ras-related protein ced-10-like [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067103598.1	found	PREDICTED: Macrobrachium rosenbergii vinculin (Vinc), transcript variant X8, mRNA	Macrobrachium rosenbergii	6673	protein:2782944995	vinculin isoform X8 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067124917.1	found	PREDICTED: Macrobrachium rosenbergii Equilibrative nucleoside transporter 2 (Ent2), transcript variant X4, mRNA	Macrobrachium rosenbergii	5280	protein:2782857608	equilibrative nucleoside transporter 1 isoform X2 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067106657.1	found	PREDICTED: Macrobrachium rosenbergii single insulin-like growth factor-binding domain protein-2 (LOC136840179), mRNA	Macrobrachium rosenbergii	730	protein:2782976218	single insulin-like growth factor-binding domain protein-2 [Macrobrachium rosenbergii]	growth_molting	growth_molting
XM_067117717.1	found	PREDICTED: Macrobrachium rosenbergii Synapse-associated protein 47kD (Sap47), transcript variant X28, mRNA	Macrobrachium rosenbergii	4646	protein:2782829778	synapse-associated protein 1 isoform X8 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067129770.1	found	PREDICTED: Macrobrachium rosenbergii uncharacterized protein (LOC136853857), transcript variant X3, mRNA	Macrobrachium rosenbergii	5481	protein:2782874082	uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067134595.1	found	PREDICTED: Macrobrachium rosenbergii uncharacterized protein (LOC136856635), mRNA	Macrobrachium rosenbergii	12841	protein:2782899464	LOW QUALITY PROTEIN: uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067115250.1	found	PREDICTED: Macrobrachium rosenbergii Mitochondrial calcium uptake 3 (MICU3), transcript variant X10, mRNA	Macrobrachium rosenbergii	6369	protein:2782821822	calcium uptake protein 3, mitochondrial isoform X10 [Macrobrachium rosenbergii]	energy_metabolism	energy_metabolism
XM_067089713.1	found	PREDICTED: Macrobrachium rosenbergii zinc finger and BTB domain-containing protein 41-like (LOC136830307), transcript variant X1, mRNA	Macrobrachium rosenbergii	4278	protein:2782931935	zinc finger and BTB domain-containing protein 41-like [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067134280.1	found	PREDICTED: Macrobrachium rosenbergii osteoclast-stimulating factor 1-like (LOC136856420), transcript variant X1, mRNA	Macrobrachium rosenbergii	5227	protein:2782898218	osteoclast-stimulating factor 1-like [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067124646.1	found	PREDICTED: Macrobrachium rosenbergii protein abrupt-like (LOC136850738), transcript variant X14, mRNA	Macrobrachium rosenbergii	2312	protein:2782856634	protein bric-a-brac 2-like isoform X7 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
JP354832.1	found	TSA: Macrobrachium rosenbergii Contig3323.Mr mRNA sequence	Macrobrachium rosenbergii	1261			other_uncharacterized	other_uncharacterized
XM_067131927.1	found	PREDICTED: Macrobrachium rosenbergii dystrophin-like (LOC136855095), mRNA	Macrobrachium rosenbergii	2488	protein:2782882932	dystrophin-like [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067112520.1	found	PREDICTED: Macrobrachium rosenbergii uncharacterized protein (LOC136843789), mRNA	Macrobrachium rosenbergii	2626	protein:2782844747	uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067106480.1	found	PREDICTED: Macrobrachium rosenbergii UBA-like domain-containing protein 2-B (LOC136840093), mRNA	Macrobrachium rosenbergii	8054	protein:2782975870	UBA-like domain-containing protein 2-B [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067087534.1	found	PREDICTED: Macrobrachium rosenbergii eukaryotic translation initiation factor 3 subunit b (eIF3b), mRNA	Macrobrachium rosenbergii	2506	protein:2782924461	LOW QUALITY PROTEIN: eukaryotic translation initiation factor 3 subunit B [Macrobrachium rosenbergii]	translation_ribosome	translation_ribosome
XM_067086298.1	found	PREDICTED: Macrobrachium rosenbergii copine-8-like (LOC136828357), transcript variant X1, mRNA	Macrobrachium rosenbergii	4078	protein:2782920865	copine-8-like isoform X1 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
EL609592.1	found	AQAH-BH-0607 Beta-glucan stimulated hemocyte library Macrobrachium rosenbergii cDNA clone BG2620 5', mRNA sequence	Macrobrachium rosenbergii	741			other_uncharacterized	other_uncharacterized
JP353933.1	found	TSA: Macrobrachium rosenbergii Contig2424.Mr mRNA sequence	Macrobrachium rosenbergii	949			other_uncharacterized	other_uncharacterized
XM_067094297.1	found	PREDICTED: Macrobrachium rosenbergii FHF complex subunit HOOK interacting protein 2A-like (LOC136832764), mRNA	Macrobrachium rosenbergii	7015	protein:2782953180	FHF complex subunit HOOK interacting protein 2A-like [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067107249.1	found	PREDICTED: Macrobrachium rosenbergii UDP-galactose transporter (Ugalt), transcript variant X7, mRNA	Macrobrachium rosenbergii	4737	protein:2782977403	UDP-N-acetylglucosamine transporter isoform X4 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067088134.1	found	PREDICTED: Macrobrachium rosenbergii synaptophysin-like (LOC136829454), transcript variant X4, mRNA	Macrobrachium rosenbergii	6421	protein:2782926581	synaptophysin-like isoform X4 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067105018.1	found	PREDICTED: Macrobrachium rosenbergii transmembrane protein 63 (Tmem63), transcript variant X6, mRNA	Macrobrachium rosenbergii	8279	protein:2782972903	calcium permeable stress-gated cation channel 1 isoform X4 [Macrobrachium rosenbergii]	other_uncharacterized; stress_response	other_uncharacterized
EL609362.1	found	AQAH-BH-0376 Beta-glucan stimulated hemocyte library Macrobrachium rosenbergii cDNA clone BG2311 5' similar to Ubiquitin/ribosomal 27a, mRNA sequence	Macrobrachium rosenbergii	546			protein_degradation; translation_ribosome	protein_degradation
XM_067095139.1	found	PREDICTED: Macrobrachium rosenbergii uncharacterized protein (LOC136833249), transcript variant X1, mRNA	Macrobrachium rosenbergii	7898	protein:2782956219	uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067107753.1	found	PREDICTED: Macrobrachium rosenbergii kelch domain-containing protein 4 (LOC136840826), transcript variant X1, mRNA	Macrobrachium rosenbergii	3305	protein:2782978450	kelch domain-containing protein 4 isoform X1 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067125216.1	found	PREDICTED: Macrobrachium rosenbergii uncharacterized protein (LOC136851255), mRNA	Macrobrachium rosenbergii	11736	protein:2782858687	uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067117715.1	found	PREDICTED: Macrobrachium rosenbergii Synapse-associated protein 47kD (Sap47), transcript variant X26, mRNA	Macrobrachium rosenbergii	4660	protein:2782829757	synapse-associated protein 1 isoform X8 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067100047.1	found	PREDICTED: Macrobrachium rosenbergii long-chain-fatty-acid--CoA ligase 1 (LOC136836089), transcript variant X1, mRNA	Macrobrachium rosenbergii	4754	protein:2782966952	long-chain-fatty-acid--CoA ligase 1 isoform X1 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067083286.1	found	PREDICTED: Macrobrachium rosenbergii kinesin family member unc-104 (unc-104), mRNA	Macrobrachium rosenbergii	8607	protein:2782886078	LOW QUALITY PROTEIN: kinesin-like protein unc-104 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067101367.1	found	PREDICTED: Macrobrachium rosenbergii harmonin (LOC136836911), transcript variant X3, mRNA	Macrobrachium rosenbergii	7104	protein:2782969457	uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067134585.1	found	PREDICTED: Macrobrachium rosenbergii protein PRRC1-like (LOC136856631), transcript variant X2, mRNA	Macrobrachium rosenbergii	3168	protein:2782899430	protein PRRC1-like isoform X2 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067111987.1	found	PREDICTED: Macrobrachium rosenbergii UDP-glucose-glycoprotein glucosyltransferase (Uggt), transcript variant X3, mRNA	Macrobrachium rosenbergii	5035	protein:2782815426	UDP-glucose:glycoprotein glucosyltransferase 1 isoform X2 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067125229.1	found	PREDICTED: Macrobrachium rosenbergii secernin-3 (LOC136851261), transcript variant X2, mRNA	Macrobrachium rosenbergii	4830	protein:2782858731	secernin-3 isoform X2 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067123107.1	found	PREDICTED: Macrobrachium rosenbergii GDP-mannose 4,6 dehydratase (Gmd), mRNA	Macrobrachium rosenbergii	3232	protein:2782852153	LOW QUALITY PROTEIN: GDP-mannose 4,6 dehydratase [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067112878.1	found	PREDICTED: Macrobrachium rosenbergii tetraspanin-1-like (LOC136843927), mRNA	Macrobrachium rosenbergii	4147	protein:2782817246	tetraspanin-1-like [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067119732.1	found	PREDICTED: Macrobrachium rosenbergii protein ST7 homolog (LOC136847808), transcript variant X4, mRNA	Macrobrachium rosenbergii	3235	protein:2782837483	protein ST7 homolog isoform X2 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067096515.1	found	PREDICTED: Macrobrachium rosenbergii eukaryotic translation initiation factor 3 subunit e (eIF3e), mRNA	Macrobrachium rosenbergii	1507	protein:2782960063	eukaryotic translation initiation factor 3 subunit E-B [Macrobrachium rosenbergii]	translation_ribosome	translation_ribosome
XM_067118198.1	found	PREDICTED: Macrobrachium rosenbergii homeobox protein extradenticle-like (LOC136846944), mRNA	Macrobrachium rosenbergii	876	protein:2782831639	homeobox protein extradenticle-like [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067127894.1	found	PREDICTED: Macrobrachium rosenbergii uncharacterized protein (LOC136852922), mRNA	Macrobrachium rosenbergii	6920	protein:2782867749	uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067121840.1	found	PREDICTED: Macrobrachium rosenbergii double-stranded RNA-binding protein Staufen (stau), transcript variant X6, mRNA	Macrobrachium rosenbergii	4230	protein:2782848357	double-stranded RNA-binding protein Staufen homolog 2 isoform X6 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067115124.1	found	PREDICTED: Macrobrachium rosenbergii guanine nucleotide-binding protein G(q) subunit alpha-like (LOC136845163), transcript variant X1, mRNA	Macrobrachium rosenbergii	1821	protein:2782821580	guanine nucleotide-binding protein G(q) subunit alpha-like isoform X1 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
JP351745.1	found	TSA: Macrobrachium rosenbergii Contig232.Mr mRNA sequence	Macrobrachium rosenbergii	393			other_uncharacterized	other_uncharacterized
GH626119.1	found	Mr-AG2063 Normal eyestalk library and Ablation eyestalk library Macrobrachium rosenbergii cDNA clone E176-M13R 5' similar to Unknown (S583), mRNA sequence	Macrobrachium rosenbergii	727			other_uncharacterized	other_uncharacterized
XM_067122492.1	found	PREDICTED: Macrobrachium rosenbergii immunoglobulin domain and leucine-rich repeat-containing protein 2 (LOC136849241), transcript variant X1, mRNA	Macrobrachium rosenbergii	3951	protein:2782850260	immunoglobulin domain and leucine-rich repeat-containing protein 2 [Macrobrachium rosenbergii]	immune_response	immune_response
XM_067110822.1	found	PREDICTED: Macrobrachium rosenbergii TBC1 domain family member 22 (Tbc1d22), transcript variant X10, mRNA	Macrobrachium rosenbergii	5443	protein:2782813071	TBC1 domain family member 22B isoform X9 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067116168.1	found	PREDICTED: Macrobrachium rosenbergii ATP-dependent RNA helicase bel (bel), transcript variant X10, mRNA	Macrobrachium rosenbergii	5518	protein:2782823970	ATP-dependent RNA helicase DDX3X isoform X10 [Macrobrachium rosenbergii]	energy_metabolism	energy_metabolism
XM_067097475.1	found	PREDICTED: Macrobrachium rosenbergii kinesin light chain (Klc), transcript variant X28, mRNA	Macrobrachium rosenbergii	4551	protein:2782961921	kinesin light chain isoform X22 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067109294.1	found	PREDICTED: Macrobrachium rosenbergii E3 ubiquitin-protein ligase RNF13-like (LOC136841874), transcript variant X5, mRNA	Macrobrachium rosenbergii	2423	protein:2782981686	E3 ubiquitin-protein ligase RNF13-like isoform X2 [Macrobrachium rosenbergii]	protein_degradation	protein_degradation
GH625464.1	found	Mr-AG1408 Normal eyestalk library and Ablation eyestalk library Macrobrachium rosenbergii cDNA clone EB704_M13R 5' similar to thymosin beta actin-binding motif, mRNA sequence	Macrobrachium rosenbergii	631			other_uncharacterized	other_uncharacterized
XM_067119491.1	found	PREDICTED: Macrobrachium rosenbergii proton-coupled amino acid transporter-like protein CG1139 (LOC136847686), transcript variant X8, mRNA	Macrobrachium rosenbergii	2774	protein:2782836587	proton-coupled amino acid transporter-like protein CG1139 isoform X4 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067104329.1	found	PREDICTED: Macrobrachium rosenbergii uncharacterized protein (LOC136838786), transcript variant X2, mRNA	Macrobrachium rosenbergii	5862	protein:2782947802	uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067100814.1	found	PREDICTED: Macrobrachium rosenbergii F-box/LRR-repeat protein 5-like (LOC136836485), mRNA	Macrobrachium rosenbergii	4665	protein:2782968377	F-box/LRR-repeat protein 5-like [Macrobrachium rosenbergii]	protein_degradation	protein_degradation
XM_067104953.1	found	PREDICTED: Macrobrachium rosenbergii N-acetylgalactosamine kinase (Galk), transcript variant X1, mRNA	Macrobrachium rosenbergii	5318	protein:2782972771	N-acetylgalactosamine kinase isoform X1 [Macrobrachium rosenbergii]	transcription_signaling	transcription_signaling
XM_067109836.1	found	PREDICTED: Macrobrachium rosenbergii uncharacterized protein (LOC136842464), transcript variant X14, mRNA	Macrobrachium rosenbergii	7419	protein:2782811092	uncharacterized protein [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067097499.1	found	PREDICTED: Macrobrachium rosenbergii N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (LOC136834790), mRNA	Macrobrachium rosenbergii	4183	protein:2782961972	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067103197.1	found	PREDICTED: Macrobrachium rosenbergii protein enabled-like (LOC136838316), transcript variant X2, mRNA	Macrobrachium rosenbergii	8496	protein:2782808242	serine/arginine repetitive matrix protein 2-like isoform X2 [Macrobrachium rosenbergii]	other_uncharacterized	other_uncharacterized
XM_067133196.1	found	PREDICTED: Macrobrachium rosenbergii receptor mediated endocytosis 8 (Rme-8), transcript variant X1, mRNA	Macrobrachium rosenbergii	11053	protein:2782894648	dnaJ homolog subfamily C member 13 isoform X1 [Macrobrachium rosenbergii]	other_uncharacterized; transcription_signaling	other_uncharacterized
XM_067107357.1	found	PREDICTED: Macrobrachium rosenbergii serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform-like (LOC136840654), transcript variant X9, mRNA	Macrobrachium rosenbergii	2597	protein:2782977646	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform-like isoform X9 [Macrobrachium rosenbergii]	transcription_signaling	transcription_signaling
