taxon	Jumper	Laggard	rel_abund_jumper_pct	rel_abund_laggard_pct	fold_diff	direction	exclusive_to	predicted_function	pathways	category	evidence_basis	literature_refs	contaminant_flag	contaminant_reason	contaminant_note
Vibrio cholerae	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Chitin degradation; Chitinase secretion; Protease secretion	Chitin degradation to GlcNAc; Amino sugar metabolism	chitin_degrader	literature-curated	Meibom et al. 2004, Vibrio chitin utilization	False		
Vibrio litoralis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Chitin degradation; Chitinase secretion; Protease secretion	Chitin degradation to GlcNAc; Amino sugar metabolism	chitin_degrader	literature-curated	Meibom et al. 2004, Vibrio chitin utilization	False		
Vibrio pelagius	1	0	0.1862	0.0		Jumper-exclusive	Jumper	Chitin degradation; Chitinase secretion; Protease secretion	Chitin degradation to GlcNAc; Amino sugar metabolism	chitin_degrader	literature-curated	Meibom et al. 2004, Vibrio chitin utilization	False		
Yersinia rochesterensis	1	0	0.1862	0.0		Jumper-exclusive	Jumper	unknown (no curated entry)		unknown	none		False		
Moraxella osloensis	1	35	0.1862	6.8762	-3.3126	Laggard-enriched	none	unknown (no curated entry)		unknown	none		False		
Exiguobacterium aestuarii	1	20	0.1862	3.9293	-2.753	Laggard-enriched	none	unknown (no curated entry)		unknown	none		False		
Flavobacterium haoranii	3	12	0.5587	2.3576	-1.1435	Laggard-enriched	none	Vitamin B12 synthesis (some spp.); Organic matter degradation	Cobalamin biosynthesis; Extracellular enzyme secretion	vitamin_synthesis	literature-curated	McBride 2014, The Family Flavobacteriaceae	True	Genus 'flavobacterium' is a known reagent/skin contaminant	
Mariniblastus fucicola	3	12	0.5587	2.3576	-1.1435	Laggard-enriched	none	unknown (no curated entry)		unknown	none		False		
Providencia stuartii	1	3	0.1862	0.5894	-0.8558	Laggard-enriched	none	unknown (no curated entry)		unknown	none		False		
Pseudomonas alcaligenes	2	5	0.3724	0.9823	-0.6735	Laggard-enriched	none	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas tianjinensis	1	2	0.1862	0.3929	-0.4504	Laggard-enriched	none	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Acinetobacter chinensis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		True	Genus 'acinetobacter' is a known reagent/skin contaminant	
Acinetobacter indicus	0	2	0.0	0.3929		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		True	Genus 'acinetobacter' is a known reagent/skin contaminant	
Aeromonas dhakensis	0	9	0.0	1.7682		Laggard-exclusive	Laggard	Chitin degradation; Chitinase production; Amylase secretion	Chitin degradation; Starch and sucrose metabolism	chitin_degrader	literature-curated	Janda & Abbott 2010, The Genus Aeromonas	False		
Aeromonas lusitana	0	6	0.0	1.1788		Laggard-exclusive	Laggard	Chitin degradation; Chitinase production; Amylase secretion	Chitin degradation; Starch and sucrose metabolism	chitin_degrader	literature-curated	Janda & Abbott 2010, The Genus Aeromonas	False		
Anatilimnocola aggregata	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Azomonas agilis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Azotobacter nigricans	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Nitrogen fixation (aerobic); PHA accumulation	Nitrogen fixation (nif); PHA biosynthesis	nitrogen_metabolism	literature-curated	Jiménez et al. 2019, Azotobacter as PGPR	False		
Brachybacterium aquaticum	0	2	0.0	0.3929		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Brenneria rubrifaciens	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Brevundimonas aurantiaca	0	5	0.0	0.9823		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Brevundimonas kwangchunensis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Citrobacter freundii	0	4	0.0	0.7859		Laggard-exclusive	Laggard	Citrate utilization; Mixed acid fermentation; Hydrogen sulfide production	Citrate cycle; Mixed acid fermentation	organic_acid_metabolism	literature-curated	Borenshtein & Schauer 2006, The Genus Citrobacter	False		
Cupriavidus necator	0	7	0.0	1.3752		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Cupriavidus plantarum	0	2	0.0	0.3929		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Cupriavidus yeoncheonensis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Cutibacterium acnes	0	91	0.0	17.8782		Laggard-exclusive	Laggard	Lipid metabolism; Propionate fermentation	Propionate fermentation; Lipase activity	lipid_metabolism	literature-curated	Brüggemann et al. 2021, Cutibacterium acnes in skin	False		Skin commensal; likely contaminant in gut samples
Cutibacterium namnetense	0	9	0.0	1.7682		Laggard-exclusive	Laggard	Lipid metabolism; Propionate fermentation	Propionate fermentation; Lipase activity	lipid_metabolism	literature-curated	Brüggemann et al. 2021, Cutibacterium acnes in skin	False		Skin commensal; likely contaminant in gut samples
Enterobacter cloacae	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Entomohabitans teleogrylli	0	2	0.0	0.3929		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Entomomonas moraniae	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Exiguobacterium alkaliphilum	0	3	0.0	0.5894		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Exiguobacterium marinum	0	3	0.0	0.5894		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Exiguobacterium undae	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Flavobacterium caeni	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Vitamin B12 synthesis (some spp.); Organic matter degradation	Cobalamin biosynthesis; Extracellular enzyme secretion	vitamin_synthesis	literature-curated	McBride 2014, The Family Flavobacteriaceae	True	Genus 'flavobacterium' is a known reagent/skin contaminant	
Flavobacterium dongtanense	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Vitamin B12 synthesis (some spp.); Organic matter degradation	Cobalamin biosynthesis; Extracellular enzyme secretion	vitamin_synthesis	literature-curated	McBride 2014, The Family Flavobacteriaceae	True	Genus 'flavobacterium' is a known reagent/skin contaminant	
Flavobacterium enshiense	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Vitamin B12 synthesis (some spp.); Organic matter degradation	Cobalamin biosynthesis; Extracellular enzyme secretion	vitamin_synthesis	literature-curated	McBride 2014, The Family Flavobacteriaceae	True	Genus 'flavobacterium' is a known reagent/skin contaminant	
Flavobacterium luticocti	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Vitamin B12 synthesis (some spp.); Organic matter degradation	Cobalamin biosynthesis; Extracellular enzyme secretion	vitamin_synthesis	literature-curated	McBride 2014, The Family Flavobacteriaceae	True	Genus 'flavobacterium' is a known reagent/skin contaminant	
Flavobacterium palustre	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Vitamin B12 synthesis (some spp.); Organic matter degradation	Cobalamin biosynthesis; Extracellular enzyme secretion	vitamin_synthesis	literature-curated	McBride 2014, The Family Flavobacteriaceae	True	Genus 'flavobacterium' is a known reagent/skin contaminant	
Flavobacterium xanthum	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Vitamin B12 synthesis (some spp.); Organic matter degradation	Cobalamin biosynthesis; Extracellular enzyme secretion	vitamin_synthesis	literature-curated	McBride 2014, The Family Flavobacteriaceae	True	Genus 'flavobacterium' is a known reagent/skin contaminant	
Gemmata massiliana	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Halopseudomonas pelagia	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Hansschlegelia beijingensis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Janibacter endophyticus	0	2	0.0	0.3929		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Kosakonia arachidis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Lewinella cohaerens	0	2	0.0	0.3929		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Limnoglobus roseus	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Luminiphilus syltensis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Luteimonas abyssi	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Lysobacter brunescens	0	5	0.0	0.9823		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia agri	0	4	0.0	0.7859		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia alkalitolerans	0	2	0.0	0.3929		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia arenae	0	11	0.0	2.1611		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia arvi	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia haematophila	0	3	0.0	0.5894		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia niastensis	0	6	0.0	1.1788		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia norwichensis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia pinisoli	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia rhizosphaerae	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia terrae	0	8	0.0	1.5717		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Massilia yuzhufengensis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Methylovulum psychrotolerans	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Moraxella atlantae	0	2	0.0	0.3929		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Moraxella lacunata	0	2	0.0	0.3929		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Moritella profunda	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Pantoea alhagi	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Paraburkholderia pallida	0	1	0.0	0.1965		Laggard-exclusive	Laggard	unknown (no curated entry)		unknown	none		False		
Pseudomonas aeruginosa	0	8	0.0	1.5717		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas alkylphenolica	0	13	0.0	2.554		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas alloputida	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas azotoformans	0	13	0.0	2.554		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas bijieensis	0	3	0.0	0.5894		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas carbonaria	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas caricapapayae	0	2	0.0	0.3929		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas delhiensis	0	2	0.0	0.3929		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas duriflava	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
Pseudomonas extremorientalis	0	1	0.0	0.1965		Laggard-exclusive	Laggard	Protein degradation; Amino acid catabolism; Biofilm formation	Branched-chain amino acid degradation; TCA cycle	protein_fermenter	literature-curated	Silby et al. 2011, Pseudomonas	True	Genus 'pseudomonas' is a known reagent/skin contaminant	
